-0.175549004616, 07 Mar 2016 20:24:46
-0.727291093627, 07 Mar 2016 20:24:47
-0.495004963749, 07 Mar 2016 20:24:48
0.301018824136, 07 Mar 2016 20:24:49
2.01483699362, 07 Mar 2016 20:24:50
1.70044890446, 07 Mar 2016 20:24:51
1.79125849754, 07 Mar 2016 20:24:52
1.34458272784, 07 Mar 2016 20:24:53
0.0994016540324, 07 Mar 2016 20:24:54
0.203361958149, 07 Mar 2016 20:24:55
-0.301368159415, 07 Mar 2016 20:24:56
-1.172648734, 07 Mar 2016 20:24:57
-0.640086996813, 07 Mar 2016 20:24:58
-0.333342967528, 07 Mar 2016 20:24:59
-0.175890620951, 07 Mar 2016 20:25:00
-1.26603942001, 07 Mar 2016 20:25:01
-1.43159486497, 07 Mar 2016 20:25:02
-2.73432319498, 07 Mar 2016 20:25:03
-2.90517855787, 07 Mar 2016 20:25:04
-3.20866919313, 07 Mar 2016 20:25:05
-3.26392120233, 07 Mar 2016 20:25:06
-3.89751685205, 07 Mar 2016 20:25:07
-5.04067571835, 07 Mar 2016 20:25:08
-4.80137782659, 07 Mar 2016 20:25:09
-5.50338913307, 07 Mar 2016 20:25:10
-4.23708816719, 07 Mar 2016 20:25:11
-4.69607096711, 07 Mar 2016 20:25:12
-4.80501736353, 07 Mar 2016 20:25:13
-3.58662025032, 07 Mar 2016 20:25:14
-4.45949851535, 07 Mar 2016 20:25:15
-4.78426503459, 07 Mar 2016 20:25:16
-5.62695821451, 07 Mar 2016 20:25:17
-5.9919518335, 07 Mar 2016 20:25:18
-5.67215502973, 07 Mar 2016 20:25:19
-4.83837379362, 07 Mar 2016 20:25:20
-4.66055313863, 07 Mar 2016 20:25:21
-2.94468285149, 07 Mar 2016 20:25:22
-2.61083521815, 07 Mar 2016 20:25:23
-3.82211434732, 07 Mar 2016 20:25:24
-3.31140651113, 07 Mar 2016 20:25:25
-4.64343166594, 07 Mar 2016 20:25:26
-5.26427946112, 07 Mar 2016 20:25:27
-6.56647415779, 07 Mar 2016 20:25:28
-6.71665544828, 07 Mar 2016 20:25:29
-7.78080131862, 07 Mar 2016 20:25:30
-7.96436555174, 07 Mar 2016 20:25:31
-8.29789326126, 07 Mar 2016 20:25:32
-8.54014551499, 07 Mar 2016 20:25:33
-9.47785761102, 07 Mar 2016 20:25:34
-9.33793792761, 07 Mar 2016 20:25:35
-9.61640449345, 07 Mar 2016 20:25:36
-10, 07 Mar 2016 20:25:37
-10, 07 Mar 2016 20:25:38
